Date,daily_Hospitalizations,forecast with 7 days,forecast with 14 days,forecast with 21 days,forecast with 28 days,forecast with 35 days,forecast with 42 days,forecast with 49 days,forecast with 56 days,forecast with 63 days,forecast with 70 days,forecast with 77 days,forecast with 84 days,forecast with 91 days,forecast with 98 days,forecast with 105 days,forecast with 112 days,forecast with 119 days,forecast with 122 days
2020-01-31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,2,0.01117272,0.01117272,0.011064921,0.010796003,0.01109588,0.0102693,0.005955094,0.010158019,0.001644448,0.009006156,0.001644448,0.009797674,0.009697118,0.009657094,0.009648402,0.009646347,0.009645513,0.009645513
2020-02-02,2,0.039665072,0.039665072,0.038188834,0.037369118,0.038622156,0.033677895,0.02063157,0.033045341,0.005925558,0.029127783,0.005925558,0.031077721,0.030545216,0.030334003,0.030287263,0.030275657,0.030270795,0.030270795
2020-02-03,1,0.081395884,0.081395884,0.074897758,0.07406926,0.07679679,0.063835581,0.040961507,0.0624655,0.012177261,0.054863373,0.012177261,0.0577518,0.056506162,0.056012146,0.055900239,0.05587094,0.055858258,0.055858258
2020-02-04,2,0.135310523,0.135310523,0.117179388,0.117927799,0.122403922,0.097904711,0.065367643,0.095941061,0.020034728,0.084104897,0.020034728,0.087715628,0.085580843,0.084731727,0.084534062,0.084479378,0.084454958,0.084454958
2020-02-05,2,0.202232325,0.202232325,0.162577463,0.167532573,0.173770443,0.13472795,0.093134582,0.132639722,0.029334953,0.116196946,0.029334953,0.120414185,0.117283391,0.116031256,0.115730736,0.11564285,0.115602459,0.115602459
2020-02-06,2,0.284318023,0.284318023,0.209617936,0.222388754,0.230159845,0.17394914,0.124055041,0.172471604,0.040054423,0.151120777,0.040054423,0.155911723,0.151712302,0.150019867,0.149599976,0.149470303,0.149409139,0.149409139
2020-02-07,2,0.384851185,0.384851185,0.257445474,0.282557814,0.291414549,0.215601476,0.158232372,0.215698509,0.052270797,0.189153512,0.052270797,0.194539092,0.189211472,0.187043867,0.186486801,0.18630548,0.186217953,0.186217953
2020-02-08,2,0.508236122,0.508236122,0.305593378,0.348455911,0.357746311,0.259915661,0.195972025,0.262767248,0.066140258,0.230728324,0.066140258,0.236762855,0.230249474,0.227569874,0.226855375,0.226610867,0.2264904,0.2264904
2020-02-09,2,0.660124163,0.660124163,0.353838079,0.420743946,0.429615033,0.307231685,0.23772389,0.314241304,0.081885226,0.276379929,0.081885226,0.28313994,0.275379933,0.272147254,0.271251795,0.270930514,0.27076934,0.27076934
2020-02-10,3,0.8476424,0.8476424,0.402107232,0.500270637,0.507660521,0.35795953,0.284053964,0.370775982,0.099789069,0.326726624,0.099789069,0.334305694,0.325232448,0.321400009,0.32029611,0.319882036,0.319670983,0.319670983
2020-02-11,3,1.07971691,1.07971691,0.450421791,0.588046604,0.592666132,0.41256308,0.335633212,0.433113148,0.120195713,0.382468392,0.120195713,0.390975392,0.380515489,0.376030074,0.374685616,0.374159875,0.37388812,0.37388812
2020-02-12,3,1.367496074,1.367496074,0.498859622,0.685237002,0.685541848,0.471555174,0.393236835,0.502085187,0.143512868,0.44439247,0.143512868,0.453951675,0.442024479,0.436825532,0.435203028,0.434543411,0.434198199,0.434198199
2020-02-13,4,1.724889349,1.724889349,0.547532732,0.793165649,0.787319415,0.535498126,0.457750167,0.578623761,0.170218114,0.513382888,0.170218114,0.524135117,0.510652708,0.504671534,0.502727292,0.501907701,0.501474022,0.501474022
2020-02-14,4,2.169245001,2.169245001,0.596573135,0.913326772,0.89915522,0.605007101,0.530179166,0.663771505,0.200867469,0.590432571,0.200867469,0.602536959,0.587404268,0.580563181,0.578246364,0.577236174,0.576696386,0.576696386
2020-02-15,4,2.722198521,2.722198521,0.646124177,1.047402276,1.022338425,0.680755124,0.611664477,0.758695986,0.236106274,0.676657565,0.236106274,0.690293789,0.673408908,0.665620296,0.662871832,0.661635149,0.660968544,0.660968544
2020-02-16,4,3.41073261,3.41073261,0.696335295,1.197283486,1.158302919,0.763479203,0.703498598,0.864705729,0.276682417,0.773313305,0.276682417,0.788684202,0.769938857,0.761104146,0.757855477,0.756350286,0.755532589,0.755532589
2020-02-17,4,4.26850023,4.26850023,0.747358951,1.365096952,1.308642356,0.853987329,0.807146058,0.983268378,0.323462053,0.881813064,0.323462053,0.89914763,0.878427869,0.868436363,0.864608005,0.862785183,0.86178797,0.86178797
2020-02-18,4,5.33747543,5.33747543,0.799348937,1.553234243,1.475127929,0.95316632,0.924266672,1.11603118,0.377448058,1.003748805,0.377448058,1.023305604,1.000492719,0.989220329,0.984720216,0.982522391,0.981312416,0.981312416
2020-02-19,3,6.670013117,6.670013117,0.852459526,1.764385952,1.659728748,1.061990504,1.056742196,1.26484405,0.439801577,1.140914735,0.439801577,1.162985761,1.137957505,1.125265312,1.119986892,1.117347124,1.115885544,1.115885544
2020-02-20,3,8.331418194,8.331418194,0.90684516,2.001580235,1.864634903,1.181531315,1.206706675,1.431785517,0.511867087,1.295333858,0.511867087,1.320248919,1.292881059,1.278613726,1.272433772,1.269274031,1.26751551,1.26751551
